Date,Open,High,Low,Close,Adj Close,Volume
2022-12-23,180.910004,182.550003,180.449997,182.259995,182.259995,2197800
2022-12-27,183.279999,183.610001,182.270004,183.070007,183.070007,3045000
2022-12-28,184.100006,184.539993,181.639999,181.750000,181.750000,2694300
2022-12-29,181.919998,182.860001,181.889999,181.979996,181.979996,2549200
2022-12-30,181.380005,181.960007,179.289993,180.660004,180.660004,3135300
2023-01-03,180.589996,180.750000,176.570007,179.410004,179.410004,5137400
2023-01-04,179.410004,180.539993,177.550003,178.970001,178.970001,4771300
2023-01-05,177.960007,178.770004,176.860001,177.100006,177.100006,3647100
2023-01-06,178.809998,181.830002,178.800003,181.100006,181.100006,3713200
2023-01-09,180.440002,182.770004,178.809998,179.330002,179.330002,3319200
2023-01-10,178.789993,179.529999,177.089996,177.850006,177.850006,3817300
2023-01-11,179.389999,179.710007,175.679993,178.050003,178.050003,4369900
2023-01-12,177.660004,178.369995,175.320007,175.779999,175.779999,4246600
2023-01-13,175.399994,175.729996,174.169998,175.240005,175.240005,4719400
2023-01-17,176.149994,177.550003,175.490005,176.059998,176.059998,5032600
2023-01-18,175.240005,175.740005,171.330002,171.619995,171.619995,5032600
2023-01-19,171.279999,172.169998,169.479996,169.630005,169.630005,4720400
2023-01-20,168.949997,169.889999,167.460007,169.880005,169.880005,5771300
2023-01-23,170.009995,170.759995,168.720001,169.119995,169.119995,5440400
2023-01-24,169.610001,170.869995,168.449997,170.690002,170.690002,4125600
2023-01-25,170.339996,171.979996,169.339996,171.929993,171.929993,3852800
2023-01-26,171.639999,171.669998,170.039993,170.220001,170.220001,4558400
2023-01-27,169.770004,170.229996,168.580002,169.619995,169.619995,5450700
